--- Pendolo di torsione ---
Tempo.Forzante.Pendolo.Ampiezza.Fase
2.500	-14.185	-0.059	0.122	-83.806
2.520	-9.680	-0.070	0.128	-83.747
2.540	-5.018	-0.065	0.128	-83.641
2.560	-0.314	-0.067	0.128	-83.548
2.580	4.416	-0.063	0.128	-83.445
2.600	9.085	-0.066	0.128	-83.374
2.620	13.610	-0.059	0.128	-83.321
2.640	17.958	-0.063	0.128	-83.308
2.660	22.019	-0.046	0.128	-83.329
2.680	25.785	-0.055	0.128	-83.419
2.700	29.217	-0.038	0.128	-83.534
2.720	32.136	-0.038	0.128	-83.709
2.740	34.631	-0.026	0.128	-83.910
2.760	36.613	-0.022	0.128	-84.144
2.780	38.090	-0.010	0.128	-84.393
2.800	38.999	-0.002	0.128	-84.647
2.820	39.354	0.006	0.128	-84.890
2.840	39.143	0.008	0.128	-85.111
2.860	38.343	0.021	0.128	-85.298
2.880	37.030	0.024	0.128	-85.435
2.900	35.178	0.036	0.128	-85.512
2.920	32.833	0.041	0.128	-85.529
2.940	29.962	0.049	0.128	-85.477
2.960	26.674	0.055	0.128	-85.358
2.980	23.017	0.057	0.128	-85.164
3.000	19.011	0.069	0.139	-84.939
3.020	14.738	0.067	0.139	-84.622
3.040	10.274	0.072	0.142	-84.306
3.060	5.640	0.069	0.142	-83.943
3.080	0.950	0.075	0.145	-83.607
3.100	-3.780	0.068	0.145	-83.238
3.120	-8.442	0.073	0.145	-82.930
3.140	-13.002	0.067	0.145	-82.618
3.160	-17.363	0.065	0.145	-82.383
3.180	-21.437	0.057	0.145	-82.186
3.200	-25.245	0.057	0.145	-82.065
3.220	-28.663	0.045	0.145	-81.995
3.240	-31.657	0.040	0.145	-81.996
3.260	-34.207	0.036	0.145	-82.048
3.280	-36.244	0.026	0.145	-82.145
3.300	-37.728	0.018	0.145	-82.279
3.320	-38.678	0.008	0.145	-82.440
3.340	-39.054	0.001	0.145	-82.611
3.360	-38.903	-0.009	0.145	-82.778
3.380	-38.151	-0.017	0.145	-82.930
3.400	-36.873	-0.025	0.145	-83.056
3.420	-35.041	-0.037	0.145	-83.144
3.440	-32.683	-0.044	0.145	-83.186
3.460	-29.859	-0.050	0.145	-83.176
3.480	-26.605	-0.061	0.145	-83.116
3.500	-22.914	-0.060	0.145	-83.000
3.520	-18.942	-0.070	0.145	-82.859
3.540	-14.684	-0.069	0.145	-82.683
3.560	-10.192	-0.076	0.151	-82.506
3.580	-5.537	-0.075	0.151	-82.306
3.600	-0.820	-0.078	0.153	-82.119
3.620	3.903	-0.072	0.153	-81.947
3.640	8.565	-0.076	0.153	-81.820
3.660	13.098	-0.067	0.153	-81.706
3.680	17.479	-0.068	0.153	-81.663
3.700	21.581	-0.062	0.153	-81.673
3.720	25.375	-0.059	0.153	-81.738
3.740	28.848	-0.046	0.153	-81.862
3.760	31.821	-0.039	0.153	-82.041
3.780	34.385	-0.029	0.153	-82.274
3.800	36.422	-0.022	0.153	-82.546
3.820	37.960	-0.010	0.153	-82.844
3.840	38.924	-0.001	0.153	-83.157
3.860	39.334	0.012	0.153	-83.470
3.880	39.197	0.019	0.153	-83.766
3.900	38.493	0.027	0.153	-84.037
3.920	37.215	0.037	0.153	-84.274
3.940	35.410	0.050	0.153	-84.455
3.960	33.120	0.061	0.153	-84.590
3.980	30.331	0.063	0.153	-84.648
4.000	27.063	0.077	0.155	-84.668
4.020	23.447	0.077	0.155	-84.603
4.040	19.503	0.089	0.167	-84.506
4.060	15.244	0.085	0.167	-84.339
4.080	10.780	0.094	0.172	-84.171
4.100	6.193	0.092	0.172	-83.948
4.120	1.490	0.097	0.175	-83.741
4.140	-3.233	0.090	0.175	-83.511
4.160	-7.909	0.093	0.175	-83.331
4.180	-12.482	0.086	0.175	-83.159
4.200	-16.851	0.082	0.175	-83.031
4.220	-20.966	0.076	0.175	-82.944
4.240	-24.801	0.075	0.175	-82.902
4.260	-28.260	0.064	0.175	-82.906
4.280	-31.302	0.057	0.175	-82.961
4.300	-33.906	0.046	0.175	-83.063
4.320	-36.012	0.037	0.175	-83.200
4.340	-37.536	0.023	0.175	-83.364
4.360	-38.568	0.015	0.175	-83.542
4.380	-38.999	0.002	0.175	-83.721
4.400	-38.924	-0.005	0.175	-83.887
4.420	-38.254	-0.021	0.175	-84.028
4.440	-37.037	-0.024	0.175	-84.129
4.460	-35.253	-0.038	0.175	-84.189
4.480	-32.963	-0.050	0.175	-84.196
4.500	-30.194	-0.057	0.175	-84.130
4.520	-26.988	-0.066	0.175	-84.011
4.540	-23.352	-0.069	0.175	-83.838
4.560	-19.407	-0.079	0.176	-83.620
4.580	-15.183	-0.077	0.176	-83.360
4.600	-10.719	-0.080	0.177	-83.086
4.620	-6.084	-0.080	0.177	-82.791
4.640	-1.374	-0.080	0.177	-82.511
4.660	3.370	-0.079	0.177	-82.234
